product_id,한글명,관심수,모델번호,발매일,발매가,색상,is_womens,oldest_trade_date,TotalCnt_235,TotalAvg_235,TotalCnt_240,TotalAvg_240,TotalCnt_245,TotalAvg_245,TotalCnt_260,TotalAvg_260,TotalCnt_265,TotalAvg_265,TotalCnt_270,TotalAvg_270,Week01_235_Avg,Week01_235_Cnt,Week01_240_Avg,Week01_240_Cnt,Week01_245_Avg,Week01_245_Cnt,Week01_260_Avg,Week01_260_Cnt,Week01_265_Avg,Week01_265_Cnt,Week01_270_Avg,Week01_270_Cnt,Week02_235_Avg,Week02_235_Cnt,Week02_240_Avg,Week02_240_Cnt,Week02_245_Avg,Week02_245_Cnt,Week02_260_Avg,Week02_260_Cnt,Week02_265_Avg,Week02_265_Cnt,Week02_270_Avg,Week02_270_Cnt,Week03_235_Avg,Week03_235_Cnt,Week03_240_Avg,Week03_240_Cnt,Week03_245_Avg,Week03_245_Cnt,Week03_260_Avg,Week03_260_Cnt,Week03_265_Avg,Week03_265_Cnt,Week03_270_Avg,Week03_270_Cnt,Week04_235_Avg,Week04_235_Cnt,Week04_240_Avg,Week04_240_Cnt,Week04_245_Avg,Week04_245_Cnt,Week04_260_Avg,Week04_260_Cnt,Week04_265_Avg,Week04_265_Cnt,Week04_270_Avg,Week04_270_Cnt,Week05_235_Avg,Week05_235_Cnt,Week05_240_Avg,Week05_240_Cnt,Week05_245_Avg,Week05_245_Cnt,Week05_260_Avg,Week05_260_Cnt,Week05_265_Avg,Week05_265_Cnt,Week05_270_Avg,Week05_270_Cnt,Week06_235_Avg,Week06_235_Cnt,Week06_240_Avg,Week06_240_Cnt,Week06_245_Avg,Week06_245_Cnt,Week06_260_Avg,Week06_260_Cnt,Week06_265_Avg,Week06_265_Cnt,Week06_270_Avg,Week06_270_Cnt,Week07_235_Avg,Week07_235_Cnt,Week07_240_Avg,Week07_240_Cnt,Week07_245_Avg,Week07_245_Cnt,Week07_260_Avg,Week07_260_Cnt,Week07_265_Avg,Week07_265_Cnt,Week07_270_Avg,Week07_270_Cnt,Week08_235_Avg,Week08_235_Cnt,Week08_240_Avg,Week08_240_Cnt,Week08_245_Avg,Week08_245_Cnt,Week08_260_Avg,Week08_260_Cnt,Week08_265_Avg,Week08_265_Cnt,Week08_270_Avg,Week08_270_Cnt,Week09_235_Avg,Week09_235_Cnt,Week09_240_Avg,Week09_240_Cnt,Week09_245_Avg,Week09_245_Cnt,Week09_260_Avg,Week09_260_Cnt,Week09_265_Avg,Week09_265_Cnt,Week09_270_Avg,Week09_270_Cnt,Week10_235_Avg,Week10_235_Cnt,Week10_240_Avg,Week10_240_Cnt,Week10_245_Avg,Week10_245_Cnt,Week10_260_Avg,Week10_260_Cnt,Week10_265_Avg,Week10_265_Cnt,Week10_270_Avg,Week10_270_Cnt,Week11_235_Avg,Week11_235_Cnt,Week11_240_Avg,Week11_240_Cnt,Week11_245_Avg,Week11_245_Cnt,Week11_260_Avg,Week11_260_Cnt,Week11_265_Avg,Week11_265_Cnt,Week11_270_Avg,Week11_270_Cnt,Week12_235_Avg,Week12_235_Cnt,Week12_240_Avg,Week12_240_Cnt,Week12_245_Avg,Week12_245_Cnt,Week12_260_Avg,Week12_260_Cnt,Week12_265_Avg,Week12_265_Cnt,Week12_270_Avg,Week12_270_Cnt,Week13_235_Avg,Week13_235_Cnt,Week13_240_Avg,Week13_240_Cnt,Week13_245_Avg,Week13_245_Cnt,Week13_260_Avg,Week13_260_Cnt,Week13_265_Avg,Week13_265_Cnt,Week13_270_Avg,Week13_270_Cnt,Week14_235_Avg,Week14_235_Cnt,Week14_240_Avg,Week14_240_Cnt,Week14_245_Avg,Week14_245_Cnt,Week14_260_Avg,Week14_260_Cnt,Week14_265_Avg,Week14_265_Cnt,Week14_270_Avg,Week14_270_Cnt,Week15_235_Avg,Week15_235_Cnt,Week15_240_Avg,Week15_240_Cnt,Week15_245_Avg,Week15_245_Cnt,Week15_260_Avg,Week15_260_Cnt,Week15_265_Avg,Week15_265_Cnt,Week15_270_Avg,Week15_270_Cnt,Week16_235_Avg,Week16_235_Cnt,Week16_240_Avg,Week16_240_Cnt,Week16_245_Avg,Week16_245_Cnt,Week16_260_Avg,Week16_260_Cnt,Week16_265_Avg,Week16_265_Cnt,Week16_270_Avg,Week16_270_Cnt,Week17_235_Avg,Week17_235_Cnt,Week17_240_Avg,Week17_240_Cnt,Week17_245_Avg,Week17_245_Cnt,Week17_260_Avg,Week17_260_Cnt,Week17_265_Avg,Week17_265_Cnt,Week17_270_Avg,Week17_270_Cnt,Week18_235_Avg,Week18_235_Cnt,Week18_240_Avg,Week18_240_Cnt,Week18_245_Avg,Week18_245_Cnt,Week18_260_Avg,Week18_260_Cnt,Week18_265_Avg,Week18_265_Cnt,Week18_270_Avg,Week18_270_Cnt,Week19_235_Avg,Week19_235_Cnt,Week19_240_Avg,Week19_240_Cnt,Week19_245_Avg,Week19_245_Cnt,Week19_260_Avg,Week19_260_Cnt,Week19_265_Avg,Week19_265_Cnt,Week19_270_Avg,Week19_270_Cnt,Week20_235_Avg,Week20_235_Cnt,Week20_240_Avg,Week20_240_Cnt,Week20_245_Avg,Week20_245_Cnt,Week20_260_Avg,Week20_260_Cnt,Week20_265_Avg,Week20_265_Cnt,Week20_270_Avg,Week20_270_Cnt,Week21_235_Avg,Week21_235_Cnt,Week21_240_Avg,Week21_240_Cnt,Week21_245_Avg,Week21_245_Cnt,Week21_260_Avg,Week21_260_Cnt,Week21_265_Avg,Week21_265_Cnt,Week21_270_Avg,Week21_270_Cnt,Week22_235_Avg,Week22_235_Cnt,Week22_240_Avg,Week22_240_Cnt,Week22_245_Avg,Week22_245_Cnt,Week22_260_Avg,Week22_260_Cnt,Week22_265_Avg,Week22_265_Cnt,Week22_270_Avg,Week22_270_Cnt,Week23_235_Avg,Week23_235_Cnt,Week23_240_Avg,Week23_240_Cnt,Week23_245_Avg,Week23_245_Cnt,Week23_260_Avg,Week23_260_Cnt,Week23_265_Avg,Week23_265_Cnt,Week23_270_Avg,Week23_270_Cnt,Week24_235_Avg,Week24_235_Cnt,Week24_240_Avg,Week24_240_Cnt,Week24_245_Avg,Week24_245_Cnt,Week24_260_Avg,Week24_260_Cnt,Week24_265_Avg,Week24_265_Cnt,Week24_270_Avg,Week24_270_Cnt,Week25_235_Avg,Week25_235_Cnt,Week25_240_Avg,Week25_240_Cnt,Week25_245_Avg,Week25_245_Cnt,Week25_260_Avg,Week25_260_Cnt,Week25_265_Avg,Week25_265_Cnt,Week25_270_Avg,Week25_270_Cnt,Week26_235_Avg,Week26_235_Cnt,Week26_240_Avg,Week26_240_Cnt,Week26_245_Avg,Week26_245_Cnt,Week26_260_Avg,Week26_260_Cnt,Week26_265_Avg,Week26_265_Cnt,Week26_270_Avg,Week26_270_Cnt
457531,뉴발란스 992 메이드 인 USA 코어 그레이 실버 메탈릭,26000,U992GY,2025-03-07,309000.0,Grey/Grey/Silver Metallic,0,2025-03-10,96.0,396229,90.0,402589,99.0,381505,275.0,402745,305.0,405616,326.0,412804,438000,3.0,420333,3.0,407000,2.0,431556,18.0,434100,30.0,424342,38.0,407857,7.0,391417,12.0,382846,13.0,404882,34.0,412474,38.0,403955,44.0,411600,20.0,402880,25.0,387720,25.0,412250,76.0,417477,86.0,417333,99.0,392095,42.0,419286,21.0,384139,36.0,404952,83.0,400427,82.0,417244,78.0,382042,24.0,393034,29.0,367652,23.0,379359,64.0,380841,69.0,400209,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317696,뉴발란스 1906A 실버 메탈릭 캐슬락,7795,M1906AD,2024-07-24,239000.0,Silver Metallic/Castlerock/Gold Metallic,0,2024-07-27,37.0,258216,45.0,237022,39.0,227769,113.0,219991,132.0,222818,150.0,217813,,,,,270000,1.0,,,,,,,,,,,,,,,,,350000,1.0,,,,,,,,,313000,1.0,,,,,,,,,275000,2.0,301000,2.0,,,275000,1.0,,,,,283000,2.0,301500,2.0,295000,1.0,307500,2.0,,,,,284000,3.0,251667,3.0,277000,4.0,317000,1.0,284000,1.0,266400,5.0,278333,3.0,277000,5.0,269286,7.0,270000,1.0,267000,2.0,258000,2.0,259000,4.0,254000,2.0,257000,8.0,269000,1.0,,,266000,3.0,238000,5.0,245333,6.0,244400,10.0,266000,1.0,258000,1.0,269000,1.0,228750,4.0,240000,2.0,225800,5.0,257667,3.0,236667,3.0,257500,2.0,223800,10.0,229900,10.0,228833,6.0,270000,1.0,270500,4.0,255000,1.0,246429,7.0,249800,5.0,217429,7.0,270000,2.0,246000,3.0,,,,,248000,4.0,230750,4.0,247000,1.0,236500,6.0,238500,2.0,213000,3.0,227000,4.0,213000,8.0,242500,2.0,224000,3.0,221500,2.0,196000,2.0,208000,6.0,204200,5.0,235250,4.0,225000,1.0,214000,1.0,223700,10.0,235000,8.0,219400,10.0,218000,3.0,264500,2.0,183000,9.0,236429,7.0,243833,6.0,240333,3.0,236000,1.0,250500,2.0,179000,2.0,218000,6.0,234000,7.0,234600,5.0,275000,4.0,189750,4.0,234000,1.0,204200,5.0,202375,8.0,217714,7.0,,,160333,3.0,216000,1.0,182556,9.0,174250,12.0,187167,6.0,,,201000,4.0,213000,1.0,184875,8.0,170571,14.0,173167,12.0,257000,2.0,297000,1.0,213000,1.0,185667,3.0,193750,4.0,176000,5.0,234000,3.0,240000,1.0,,,182733,15.0,196429,7.0,168867,15.0,217000,1.0,279000,1.0,209000,2.0,238500,2.0,229143,7.0,207077,13.0,282500,2.0,278500,2.0,232000,1.0,262000,1.0,248500,4.0,227750,4.0,298000,1.0,297000,1.0,263000,1.0,270500,2.0,257000,3.0,258250,4.0
25785,뉴발란스 2002R 그레이,105000,ML2002RC,2020-09-25,179000.0,Grey,0,2020-09-25,32.0,165625,41.0,164220,27.0,163407,114.0,171053,131.0,169634,157.0,171522,154400,5.0,173714,7.0,157000,2.0,160429,21.0,161069,29.0,161962,26.0,149000,1.0,152333,3.0,147000,2.0,165667,9.0,170643,14.0,178700,10.0,149500,2.0,149000,2.0,,,184000,1.0,179000,2.0,191250,4.0,159000,1.0,148667,3.0,158000,1.0,180000,1.0,175000,5.0,187667,6.0,169000,2.0,154500,2.0,159000,2.0,199667,3.0,180500,4.0,179600,5.0,145000,1.0,179000,1.0,160000,1.0,179000,3.0,166250,4.0,171000,5.0,169000,1.0,159250,4.0,169000,2.0,151154,13.0,156250,16.0,154273,22.0,151500,2.0,170000,1.0,158333,3.0,158286,7.0,160700,10.0,158400,15.0,170000,1.0,155000,1.0,,,168000,7.0,170000,8.0,163100,10.0,174000,4.0,164500,2.0,178000,1.0,183222,9.0,181571,7.0,174667,3.0,,,200000,1.0,190000,1.0,188500,2.0,193000,4.0,187667,3.0,185000,1.0,179000,2.0,169000,1.0,192429,7.0,193500,2.0,210000,4.0,178833,6.0,167600,5.0,168667,6.0,172188,16.0,169917,12.0,171750,20.0,167667,3.0,161750,4.0,159500,2.0,174400,5.0,179222,9.0,185100,10.0,169500,2.0,164667,3.0,162333,3.0,191000,7.0,193500,4.0,191364,11.0,,,,,,,184667,3.0,219000,1.0,189333,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44101,뉴발란스 410v5 블랙 - 2E 와이드,40000,MT410CK5,,109000.0,Black,0,2021-11-28,,,8.0,87625,3.0,89000,5.0,84200,7.0,85714,11.0,84818,,,99000,1.0,,,,,,,,,,,,,,,,,,,,,,,99000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000,1.0,,,89000,1.0,,,89000,1.0,,,,,,,,,89000,1.0,88000,1.0,,,,,,,,,,,87000,1.0,,,,,,,,,89000,1.0,,,,,,,,,86500,2.0,,,,,,,87000,1.0,,,,,89000,1.0,,,,,,,,,,,,,88000,1.0,,,,,89000,1.0,,,,,,,,,,,89000,1.0,,,,,,,,,81500,2.0,,,,,,,,,,,,,,,,,77500,2.0,89000,1.0,,,,,,,,,89000,1.0,,,,,,,,,80000,1.0,,,,,,,,,,,,,,,89000,1.0,,,,,,,,,89000,1.0,88500,2.0,,,,,,,,,,,,,,,83000,1.0,,,,,,,71500,2.0,,,,,,,79000,1.0,,,,,,,,,89000,1.0,,,,,83000,1.0,,,,,,,,,,,,,,,82000,1.0,,,,,,,,
538811,뉴발란스 204L 스웨이드 머쉬룸 애리드 스톤,45000,U204LMMA,2025-07-03,159000.0,Mushroom/Arid Stone,0,2025-07-03,363.0,215298,376.0,224859,246.0,230703,166.0,204392,165.0,205879,148.0,212615,236955,22.0,235474,19.0,246333,9.0,233875,8.0,237933,15.0,220833,12.0,205417,24.0,216833,30.0,218588,17.0,235889,9.0,215429,7.0,219667,9.0,193933,15.0,197130,23.0,196818,11.0,188500,6.0,179667,3.0,189000,6.0,173222,18.0,186040,25.0,199545,11.0,181182,11.0,180000,16.0,184818,11.0,176452,31.0,202452,31.0,192810,21.0,186895,19.0,175533,15.0,184750,12.0,209160,50.0,230500,26.0,225261,23.0,200444,18.0,202400,20.0,227900,10.0,240955,44.0,244810,42.0,263750,28.0,208577,26.0,216458,24.0,226722,18.0,227082,61.0,228203,79.0,241745,47.0,206840,25.0,213304,23.0,218115,26.0,221274,62.0,242070,57.0,238318,44.0,205222,27.0,202917,24.0,216481,27.0,218944,36.0,227409,44.0,228486,35.0,206882,17.0,212333,18.0,210588,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418841,뉴발란스 740v2 블랙 실버 메탈릭,36000,U740BM2,2025-01-09,139000.0,Black/Silver Metallic,0,2025-01-09,315.0,170295,328.0,165720,238.0,155744,178.0,147888,181.0,149022,179.0,146860,183500,4.0,183444,9.0,168714,7.0,174667,3.0,181600,5.0,172000,4.0,191167,6.0,187875,8.0,163500,6.0,152167,6.0,152600,5.0,154667,3.0,139967,30.0,132952,21.0,129000,14.0,129000,8.0,131667,3.0,129571,7.0,156848,33.0,149600,30.0,145278,18.0,144526,19.0,137625,16.0,144846,13.0,168067,30.0,157219,32.0,152680,25.0,151900,20.0,154312,16.0,149867,15.0,166897,39.0,159886,44.0,147881,42.0,149750,20.0,141667,18.0,146583,24.0,187409,44.0,180500,32.0,177154,26.0,157900,20.0,159111,27.0,154958,24.0,176054,37.0,171133,45.0,162679,28.0,149048,21.0,146158,19.0,144450,20.0,184452,31.0,172976,41.0,164167,24.0,143929,28.0,143156,32.0,143969,32.0,179088,34.0,178023,44.0,160156,32.0,145750,20.0,155259,27.0,147519,27.0,158111,27.0,157000,22.0,139375,16.0,141769,13.0,141538,13.0,138200,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28260,뉴발란스 530 스틸 그레이,121000,MR530KA,2021-01-08,129000.0,Steel Grey,0,2021-01-06,268.0,118922,238.0,117508,153.0,113745,247.0,108239,225.0,114431,270.0,114093,98750,12.0,95667,9.0,93750,8.0,92800,5.0,94000,5.0,93556,9.0,90750,8.0,93167,6.0,93800,5.0,90385,13.0,93875,8.0,90583,12.0,95083,12.0,100000,10.0,95600,5.0,91111,9.0,93636,11.0,93091,11.0,103091,11.0,101444,9.0,95000,4.0,94500,8.0,100000,6.0,97875,8.0,102000,16.0,102636,11.0,101000,8.0,93929,14.0,94167,18.0,95667,12.0,130400,10.0,133100,10.0,110900,10.0,96900,20.0,97133,15.0,105333,24.0,148867,15.0,133600,15.0,113556,9.0,97136,22.0,108444,18.0,116833,18.0,110688,48.0,108909,33.0,106182,22.0,101261,23.0,106885,26.0,107762,42.0,107057,35.0,101133,30.0,105579,19.0,102174,23.0,102667,27.0,102727,33.0,115045,22.0,109367,30.0,110917,12.0,105083,36.0,109192,26.0,105968,31.0,131538,26.0,129611,18.0,141556,9.0,120105,19.0,142737,19.0,144429,14.0,137450,20.0,140091,22.0,133500,10.0,142550,20.0,151417,12.0,145000,20.0,150833,18.0,144556,18.0,130222,18.0,127500,22.0,153625,16.0,148667,21.0,136067,15.0,132000,17.0,125786,14.0,133077,13.0,134167,18.0,136333,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343933,뉴발란스 1906A 콘크리트 실버 메탈릭,1594,M1906AG,2024-09-18,208355900.0,Concrete/Silver Metallic,0,2024-11-09,11.0,278182,12.0,228333,7.0,223857,16.0,239812,10.0,233200,28.0,230000,,,,,,,,,,,344000,1.0,,,,,240000,1.0,284500,2.0,,,256333,3.0,,,,,,,255000,3.0,245000,1.0,238000,1.0,,,,,,,,,,,239000,1.0,,,,,,,,,,,,,299000,1.0,245000,1.0,,,,,,,247000,2.0,,,,,,,249000,1.0,,,220000,1.0,,,,,,,,,,,,,,,,,,,201000,1.0,,,,,,,244000,1.0,,,,,,,201000,1.0,,,220000,1.0,,,,,,,,,,,209000,2.0,,,,,,,197000,2.0,219000,1.0,,,219000,2.0,,,,,199000,1.0,,,213000,2.0,218000,1.0,195000,1.0,,,210000,1.0,219000,1.0,,,,,206000,2.0,,,,,,,,,210000,1.0,,,,,,,,,211000,2.0,,,218667,3.0,212000,1.0,213250,4.0,289000,1.0,218000,1.0,210000,1.0,,,211000,1.0,217000,1.0,288000,1.0,,,,,,,,,259000,1.0,299000,1.0,248000,1.0,,,,,230000,2.0,216000,2.0,,,,,,,,,224500,2.0,215500,2.0,,,299000,1.0,,,257000,1.0,,,215000,1.0,329000,1.0,,,,,275000,1.0,239000,1.0,,,299000,1.0,,,251000,1.0,,,240000,1.0,218000,2.0,289500,2.0,,,,,,,,,289000,1.0,240000,1.0,,,,,258000,1.0,276000,1.0,,
466255,뉴발란스 509 블랙 그레이,29000,U509BG,2025-03-14,139000.0,Black/Gray,0,2025-03-14,309.0,188087,358.0,181765,237.0,172992,315.0,190343,357.0,189518,395.0,188496,156062,16.0,151933,15.0,146364,11.0,148700,10.0,149154,13.0,146867,15.0,188545,11.0,176333,9.0,160250,8.0,150917,12.0,157000,13.0,153467,15.0,195125,8.0,183900,10.0,165286,7.0,165500,12.0,165100,10.0,162400,10.0,184538,13.0,179333,15.0,163900,10.0,165417,12.0,159538,13.0,158733,15.0,193800,10.0,180000,20.0,165067,15.0,170750,20.0,158529,17.0,160476,21.0,223286,7.0,205077,13.0,179333,3.0,167333,6.0,165308,13.0,164278,18.0,190111,9.0,197917,12.0,182333,9.0,168889,9.0,170000,4.0,170632,19.0,187200,10.0,200000,10.0,177500,4.0,188000,7.0,215250,4.0,209222,9.0,216667,12.0,200857,21.0,182588,17.0,218667,6.0,215900,10.0,213733,15.0,214600,15.0,207182,11.0,199250,8.0,208333,9.0,225000,7.0,214273,11.0,206167,12.0,200000,9.0,185111,9.0,203100,10.0,193667,12.0,208824,17.0,190250,12.0,187100,20.0,197111,9.0,207571,14.0,188778,18.0,198632,19.0,192062,16.0,183308,13.0,193545,11.0,190900,10.0,193737,19.0,184000,16.0,192200,10.0,190750,16.0,188389,18.0,192333,15.0,200429,21.0,213526,19.0,197600,15.0,194300,10.0,177800,10.0,205250,24.0,205467,15.0,202583,12.0,214167,12.0,204500,14.0,170750,12.0,212929,14.0,206333,6.0,217545,11.0,191615,13.0,194818,11.0,176875,8.0,204917,12.0,209800,15.0,210929,14.0,181947,19.0,180700,20.0,183143,7.0,210909,11.0,230923,13.0,222929,14.0,176727,11.0,173944,18.0,185000,1.0,223556,9.0,225214,14.0,229000,15.0,186588,17.0,180846,13.0,182333,9.0,211125,16.0,224667,9.0,233100,10.0,182583,12.0,177538,13.0,175300,10.0,226615,13.0,231889,18.0,236250,8.0,160815,27.0,155931,29.0,151105,19.0,175667,30.0,175233,43.0,174875,48.0,172867,15.0,162231,26.0,154562,16.0,186923,26.0,182526,38.0,176656,32.0,172714,7.0,146900,10.0,140167,6.0,170500,8.0,161083,12.0,167083,12.0,,,,,,,,,,,,,,,,,,,,,,,,
226053,뉴발란스 1906R 하버 그레이 실버 메탈릭,40000,M1906REH,2024-01-12,179000.0,Harbor Grey/Silver Metalic,0,2024-01-10,373.0,252633,377.0,249952,329.0,235726,175.0,201457,173.0,201578,170.0,196453,,,166000,1.0,,,180000,1.0,169000,1.0,,,166000,1.0,,,,,,,,,,,,,166000,3.0,,,160000,1.0,168000,1.0,155500,2.0,166000,1.0,166000,3.0,166500,2.0,166000,1.0,168000,3.0,166000,1.0,161333,9.0,164444,9.0,163500,6.0,163000,3.0,165600,5.0,161750,4.0,176333,15.0,176217,23.0,166778,9.0,168333,3.0,173750,4.0,163333,3.0,184583,12.0,181188,16.0,176385,13.0,163667,6.0,175500,4.0,163500,6.0,198304,23.0,189389,18.0,184714,14.0,176556,9.0,177400,5.0,161000,9.0,222083,12.0,218882,17.0,192214,14.0,177500,6.0,176667,9.0,169000,3.0,274643,14.0,265556,18.0,219875,24.0,178846,13.0,179636,11.0,174167,6.0,262778,27.0,262412,17.0,254391,23.0,193077,13.0,186286,7.0,180056,18.0,270439,41.0,267417,36.0,261484,31.0,203056,18.0,198222,9.0,191111,9.0,260667,51.0,261767,43.0,241073,41.0,219625,16.0,215556,18.0,206167,12.0,259878,41.0,267500,34.0,246455,44.0,229615,13.0,238273,11.0,216050,20.0,276000,34.0,282529,34.0,254828,29.0,227167,18.0,222368,19.0,217923,13.0,283795,39.0,288216,37.0,246393,28.0,205731,26.0,214720,25.0,217727,22.0,272267,30.0,274756,41.0,259091,33.0,202409,22.0,198742,31.0,201333,33.0,250652,23.0,250148,27.0,242667,18.0,206500,6.0,201100,10.0,197556,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
